,comment,user,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,shot,com
1236,丢雷,024f9b41,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.90584927188,2.80509441551,2.85431517754,0.574516043492,2.23143716215,1.19122536108,0.397695962711,2.5836414424,1.27480124533,2.18538349087,3.98941833173,3.46616823108,3.98851569421,3.96140196904,3.98359004208,3.61135264582,1.65830438226,3.67455202613,0.817684068824,1.36727486398,5,99
1086,有人的地主就有江湖,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.86463533955,2.77197063474,2.80676595938,0.525706949187,2.1811341141,1.14478487898,0.370942466289,2.54486888299,1.25383751741,2.15639630347,1.82183850897,0.978662799211,3.20588910769,3.51680630806,3.7865716103,3.633179704,2.90169320738,1.87708873337,3.18164990897,3.90353331491,4,157
519,林尚义，重炮,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.65758460491,2.57287925,2.62409027994,0.289971315703,1.96353705023,1.00858399537,0.198708561333,2.28888770077,1.02362053941,1.95591769209,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,231
1869,又唔死得住,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.03044049924,2.9229260456,2.97727536777,0.708311107242,2.36276648871,1.33553748796,0.514798596513,2.7228798429,1.34389450253,2.27623628923,3.15649802015,0.580209249728,3.45318824084,3.333885572,3.42440165346,2.6487972912,0.70825268701,0.985747060255,3.86649399174,2.14790101579,9,73
1989,田嘛，就是用来锄的,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.05037837208,2.92675845547,2.99906031288,0.729576498424,2.38445229366,1.35206116643,0.519406517109,2.72922204019,1.36836390904,2.28951892136,3.15649802015,0.580209249728,3.45318824084,3.333885572,3.42440165346,2.6487972912,0.70825268701,0.985747060255,3.86649399174,2.14790101579,9,193
1932,裁缝女,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.04110102849,2.92498836855,2.98894906299,0.71951082046,2.37419784386,1.34436904601,0.517294256302,2.72635160376,1.35694823395,2.2835276964,3.15649802015,0.580209249728,3.45318824084,3.333885572,3.42440165346,2.6487972912,0.70825268701,0.985747060255,3.86649399174,2.14790101579,9,136
1507,八两金好威啊,0348cbfb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.96053969003,2.86026558814,2.8972525708,0.628032791711,2.30289172998,1.25860068252,0.456209065844,2.65911306224,1.30213539438,2.22088650408,1.83854599883,2.28318217915,0.766145470573,1.72508383583,3.32139411894,3.25463692852,3.98374539145,3.96288173962,1.86724575167,2.16553582085,6,159
334,林峰,035a3379,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.5144966789,2.50630066588,2.5004632772,0.22998928623,1.91310931443,0.833711083334,0.105494801937,2.13255739774,0.848135426325,1.7809305016,3.25579792208,1.51819825204,2.81379257539,1.36279759338,1.14994513102,3.97353036243,2.11720730113,3.55560370471,3.98746927958,3.97845114515,1,46
1741,林峰,035a3379,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.00688181577,2.90932330284,2.95180830018,0.682948204241,2.3409423404,1.31307329558,0.505019018998,2.70948949274,1.31922313573,2.26616937102,3.61893017087,3.70536879909,3.86647384968,3.97890954458,2.7410526938,3.84494452785,2.31121321914,3.13043860032,3.07061775397,0.548434932836,8,55
1737,林峰,035a3379,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.00612726851,2.90855075972,2.95100213524,0.682118528993,2.34037100964,1.31227158528,0.504537244717,2.70883692145,1.31858285015,2.26605541444,3.61893017087,3.70536879909,3.86647384968,3.97890954458,2.7410526938,3.84494452785,2.31121321914,3.13043860032,3.07061775397,0.548434932836,8,51
